Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
111,0.2952,48.46171,0.0,0.0,0.0,1.512,14.95583,0,0,121,55.6603,0.00102,0.0,1.124,-1.0,1.0,204.02161888768325
112,0.29221,48.81381,0.0,0.0,1.4,1.483,14.84226,0,0,121,55.73993,0.00095,0.0,1.247,0.38397,1.0,203.5169488675713
113,0.28114,48.6356,0.0,0.0,0.8,1.513,14.74207,0,0,121,55.76502,0.00099,0.0,1.22,-1.0,1.0,202.89766144215602
114,0.29009,48.63009,0.0,0.0,0.0,1.501,14.76032,0,0,121,55.78336,0.00089,0.0,1.09,-1.0,1.0,202.37596365400123
115,0.28178,49.02853,0.0,0.0,0.0,1.498,14.18588,0,0,121,55.81734,0.00118,0.0,1.048,-1.0,1.0,202.06992443079872
116,0.29372,48.72859,0.0,0.0,1.1,1.509,14.50552,0,0,121,55.82833,0.00106,0.0,1.056,-1.0,1.0,201.67506744503572
117,0.29515,48.7088,0.0,0.0,1.3,1.496,14.41528,0,0,121,55.83696,0.00083,0.0,1.055,-1.0,1.0,201.45517255828565
118,0.29238,48.26985,0.0,0.0,0.0,1.518,14.33186,0,0,122,55.84433,0.00075,0.0,1.07,-1.0,1.0,201.20231485066248
119,0.28765,48.42804,0.0,0.0,1.1,1.517,13.79547,0,0,121,55.86162,0.00075,0.0,1.06,-1.0,1.0,201.0475258847869
120,0.29658,48.46296,0.0,0.0,1.1,1.498,14.42083,0,0,121,55.85725,0.00083,0.0,1.057,0.37616,1.0,200.94767882413464
121,0.29337,48.73482,0.0,0.0,0.7,1.531,14.46694,0,0,121,55.85882,0.00095,0.0,1.053,-1.0,1.0,200.97787845621014
122,0.28972,48.83704,0.0,0.0,0.0,1.525,14.0316,0,0,121,55.87547,0.00094,0.0,1.054,-1.0,1.0,200.98350468568174
123,0.29131,48.69408,0.0,0.0,0.9,1.525,14.70196,0,0,121,55.87402,0.00092,0.0,1.061,-1.0,1.0,200.97281896327976
124,0.28738,48.48525,0.0,0.0,1.6,1.527,14.70498,0,0,121,55.87461,0.0009,0.0,1.062,-1.0,1.0,201.00267506827606
125,0.29008,48.58578,0.0,0.0,0.7,1.511,14.68315,0,0,121,55.88759,0.00109,0.0,1.08,-1.0,1.0,201.0594279430194
126,0.28723,48.60396,0.0,0.0,0.0,1.508,14.15364,0,0,121,55.88477,0.00087,0.0,1.085,-1.0,1.0,201.08020126711128
127,0.28973,48.50944,0.0,0.0,2.6,1.515,14.69392,0,0,121,55.88666,0.00102,0.0,1.113,-1.0,1.0,201.10719228699926
128,0.28966,48.37309,0.0,0.0,0.5,1.514,14.68038,0,0,121,55.88122,0.00106,0.0,1.15,0.36632,1.0,201.16825689138665
129,0.28969,48.33148,0.0,0.0,0.7,1.527,14.66916,0,0,121,55.87607,0.00099,0.0,1.181,-1.0,1.0,201.1670383550255
130,0.28854,48.77563,0.0,0.0,0.9,1.517,14.20313,0,0,121,55.86729,0.00099,0.0,1.202,-1.0,1.0,201.15660133849167
131,0.28415,48.77114,0.0,0.0,0.0,1.507,14.77418,0,0,121,55.84185,0.00101,0.0,1.262,-1.0,1.0,201.20773636438577
132,0.2891,49.01926,0.0,0.0,1.2,1.5,14.75599,0,0,121,55.82634,0.00118,0.0,1.301,-1.0,1.0,201.1642235892756
133,0.28361,48.68342,0.0,0.0,0.7,1.5,14.66229,0,0,121,55.78831,0.00113,0.0,1.323,-1.0,1.0,201.15382982820813
134,0.28351,48.98484,0.0,0.0,1.0,1.489,14.04467,0,0,121,55.78002,0.00102,0.0,1.378,-1.0,1.0,201.14570038624396
135,0.29133,48.83442,0.0,0.0,0.6,1.492,14.51181,0,0,121,55.75117,0.00115,0.0,1.495,-1.0,1.0,201.18219089626933
136,0.28975,48.86105,0.0,0.0,0.9,1.481,14.43643,0,0,121,55.78122,0.00104,0.0,1.478,0.34751,1.0,201.1979922638963
